proxyWalletsFromRedeemActivity,selectedWalletRole,tokenContract,from,to,valueRaw,valueAssuming6Decimals,blockNumber,blockTimestampUTC,transactionHash,logIndex
0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,58710000,58.71,88691849,2026-06-18T00:32:49+00:00,0xe210508623fab032b3b3f399548f9e17251c9a87894cf418bd29e1fe19a3a434,3197
0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c; 0x4c358f830cea4ee26a301ed0faef418bc149fcfe,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c,15000004995,15000.004995,88691849,2026-06-18T00:32:49+00:00,0x405b624212eecf64743113b5c79f8faf9bd173863b7f013b8f97a940d1f492b2,3836
0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c; 0x4c358f830cea4ee26a301ed0faef418bc149fcfe,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x4c358f830cea4ee26a301ed0faef418bc149fcfe,225920555000,225920.555,88691849,2026-06-18T00:32:49+00:00,0x405b624212eecf64743113b5c79f8faf9bd173863b7f013b8f97a940d1f492b2,3846
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0,0.0,88691853,2026-06-18T00:32:55+00:00,0x03208b6eb6f5132590a375b0ef709e7f9980ff167e860c4ceeb5f7012cff809d,867
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0,0.0,88691862,2026-06-18T00:33:08+00:00,0xf738827c2c47b2e5a1a49313d3dc157c09749413833ef6b68711b720f47367bb,1238
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0,0.0,88691871,2026-06-18T00:33:22+00:00,0x88793dff41986c0bee4661976497d1808aeec0500feebf6d7c298488d4e88f5f,661
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0,0.0,88691879,2026-06-18T00:33:34+00:00,0xeebff48ee8458773138c96a4381f1c8d56c2dd58af3bea7d56d3881b1d6c6505,561
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0,0.0,88691887,2026-06-18T00:33:46+00:00,0x0f6e7602ed8ce66b7b732baa6af70e46e73d94c85aa7c733c0a005a54008d02e,921
0x2fa801da750904fc348ccb9315a0b892377d4359,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x2fa801da750904fc348ccb9315a0b892377d4359,16721296,16.721296,88692039,2026-06-18T00:37:34+00:00,0x458529b0aea98794cc0ef29a0632220c57e21db3ca0ccff7e28c73dcc020c26a,1394
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,666666000000,666666.0,88692039,2026-06-18T00:37:34+00:00,0x71d0e2644e6f222d22f474ccad9f2aeca96e8bd6f930c23d18959ca5b43ec205,1693
